videoid,videourl,good_sub,sub,title,query_phrase,channel,channel_id,channel_url,punctuation_count,subtitle_duration,channel_follower_count,upload_date,duration,view_count,categories,like_count,subtitle_coverage
C2w6W1-2_VU,https://www.youtube.com/watch?v=C2w6W1-2_VU,True,True,جهان های موازی و فیزیک کوانتوم,,Arantik,@Arantik,https://www.youtube.com/@Arantik,297,1134.96,57900.0,20210417.0,1164.0,406734.0,['Science & Technology'],14089.0,
h531NauUMkc,https://www.youtube.com/watch?v=h531NauUMkc,True,True,Niagara🇨🇦😍از کانادا پیاده رفتم آمریکا! آبشار نیاگارا,,Arash Kamangir,@ArashKamangirr,https://www.youtube.com/@ArashKamangirr,29,1157.69,123000.0,20231030.0,1937.0,75685.0,['People & Blogs'],1598.0,
00jZ0JBeO7c,https://www.youtube.com/watch?v=00jZ0JBeO7c,True,True,جنگنده‌های ساخت فرانسه – هواپیماهای شرکت داسو | French fighters,,DeltaPi,@DeltaP,https://www.youtube.com/@DeltaP,218,774.76,23100.0,20220817.0,899.0,47361.0,['Science & Technology'],1451.0,
BQInM1PR9qY,https://www.youtube.com/watch?v=BQInM1PR9qY,True,True,کارگاه رهبری در شرایط سخت - قسمت اول - چطور به رهبری کاریزماتیک تبدیل شویم؟,,ali mirsadeghi,@ali_mirsadeghi,https://www.youtube.com/@ali_mirsadeghi,672,6100.9,9790.0,20230110.0,6123.0,5090.0,['Education'],133.0,
Uo0CxKDzLxk,https://www.youtube.com/watch?v=Uo0CxKDzLxk,True,True,شروع قصه نفت در ایران,,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,103,3072.25,213000.0,20220908.0,3087.0,538501.0,['Education'],9334.0,
_58Vk_N6iZ0,https://www.youtube.com/watch?v=_58Vk_N6iZ0,True,True,چرا هنری کیسینجر مهمه؟,,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,45,1342.07,213000.0,20231130.0,1364.0,122628.0,['Education'],2363.0,
vhCHMv5c6Qs,https://www.youtube.com/watch?v=vhCHMv5c6Qs,True,True,Reza Shah's Exile in Mauritius with Houchang Chehabi,,Stanford Iranian Studies Program,@StanfordIranianStudiesProgram,https://www.youtube.com/@StanfordIranianStudiesProgram,378,3580.19,26100.0,20230404.0,3685.0,6706.0,['Education'],85.0,
wvRRqng03w8,https://www.youtube.com/watch?v=wvRRqng03w8,True,True,۲۴| فرداد فرحزاد: تصویب قطعنامه پارلمان اروپا علیه سپاه پاسداران,,Iran International,@IRANINTL,https://www.youtube.com/@IRANINTL,60,2930.61,693000.0,20230119.0,3240.0,87497.0,['News & Politics'],910.0,
HK9hZzfM21Q,https://www.youtube.com/watch?v=HK9hZzfM21Q,True,True,پشت پرده جنگ ایران و عراق | در حسرت یک پیروزی بزرگ برای اتمام جنگ,,پرشین ترند,@Persian_trend,https://www.youtube.com/@Persian_trend,84,1491.13,68000.0,20230613.0,1734.0,90990.0,['News & Politics'],1975.0,
6fmWcxfGfNY,https://www.youtube.com/watch?v=6fmWcxfGfNY,True,True,سفر به اعماق زمین,اذرخش فیلم,Arantik,@Arantik,https://www.youtube.com/@Arantik,157,1128.88,58000.0,20211231.0,1161.0,74546.0,['Science & Technology'],2533.0,
z0tQi2ghOc8,https://www.youtube.com/watch?v=z0tQi2ghOc8,True,True,تفسیر موضوعی قران جلسه 5 - جهان های دیگر,,iman far,@imanfar,https://www.youtube.com/@imanfar,1800,5065.06,3500.0,20240728.0,6095.0,43.0,['Education'],0.0,
GHe1mJNUrmA,https://www.youtube.com/watch?v=GHe1mJNUrmA,True,True,داستان زندگی نیکولا تسلا، مخترع قرن بیستم ( قسمت 2 / 1 ),اذرخش فیلم,Rokh Podcast,@rokhpodcast,https://www.youtube.com/@rokhpodcast,13,3485.88,116000.0,20240416.0,3587.0,37858.0,['People & Blogs'],762.0,
mGHBqecLn4E,https://www.youtube.com/watch?v=mGHBqecLn4E,True,True,کودتای ۲۸ مرداد بحران مشروعیت ساخت | گفتگو با یرواند آبراهامیان,کودتای برومر,Azad,@azadsocial,https://www.youtube.com/@azadsocial,120,3659.7,86900.0,20240104.0,4113.0,6108.0,['News & Politics'],77.0,
ERpeIxNez8M,https://www.youtube.com/watch?v=ERpeIxNez8M,True,True,فکر کردن واقعی - تمرین‌هایی برای تفکر نقادانه,اذرخش فیلم,Bplus Podcast,@BplusPodcast,https://www.youtube.com/@BplusPodcast,48,2796.92,213000.0,20240905.0,2832.0,130520.0,['Education'],3380.0,
